number;main ref;img;title;curPrice;originalPrice;sold;soldPercent
1;//aliexpress.ru/item/4000199010849.html?pdp_ext_f=%7B%22sku_id%22:%2210000000756173666%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H324ff5c3541b4fc4bd9192443551f58ft.jpg_350x350.jpg;DIENQI Carbon Fiber Card Holder Wallets Men Brand Rfid Black Magic Trifold Leather Slim Mini Wallet Small Money Bag Male Purses;US $6.54;US $17.20 | 62% off;15335 Sold;NaN% Claimed
2;//aliexpress.ru/item/1005002329439497.html?pdp_ext_f=%7B%22sku_id%22:%2212000020111773457%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/Hcb58eb1c291f4c83a6d85e239c69c93bg.jpg_350x350.jpg;Top Quality Luxury Brand Purses and Handbags Designer Leather Shoulder Crossbody Bags for Women Fashion Underarm Sac A Main New;US $20.61;US $36.81 | 44% off;2136 Sold;NaN% Claimed
3;//aliexpress.ru/item/4001082068196.html?pdp_ext_f=%7B%22sku_id%22:%2212000018018889885%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H2e5845e5aea34ceea373af53dd2e5bef3.png_350x350.png;Rosabeauty 30 32 inch 13x4 Straight Lace Front Wig Peruvian Human Hair 4x4 5X5 13X6 Transparent Lace Closure Frontal Wigs;US $51.12;US $98.31 | 48% off;3701 Sold;NaN% Claimed
4;//aliexpress.ru/item/4000517004580.html?pdp_ext_f=%7B%22sku_id%22:%2212000016191808432%22,%22ship_from%22:%22ES%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H52b540a8f64144fc9842032a1439ea041.jpg_350x350.jpg;Deep Tissue Muscle Massage Gun Body Shoulder Back Neck Massager Exercising Athletes Relaxation Slimming Shaping Pain Relief;US $42.12;US $102.72 | 59% off;33005 Sold;NaN% Claimed
5;//aliexpress.ru/item/4000800707058.html?pdp_ext_f=%7B%22sku_id%22:%2212000022969947424%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H8967bc4b018d43338c910f99a2b195b1Q.jpg_350x350.jpg;Sexy Women Leggings Bubble Butt Push Up Fitness Legging Slim High Waist Leggins Mujer Seamless Fitness Legging;US $8.77;US $21.92 | 60% off;28826 Sold;NaN% Claimed
6;//aliexpress.ru/item/4000539506338.html?pdp_ext_f=%7B%22sku_id%22:%2212000016406259996%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/Ha9aac78e8d0549bb9c4d4fb805ba7ec49.jpg_350x350.jpg;TWS Bluetooth 5.0 Earphones 2200mAh Charging Box Wireless Headphone 9D Stereo Sports Waterproof Earbuds Headsets With Microphone;US $7.14;US $22.32 | 68% off;124418 Sold;NaN% Claimed
7;//aliexpress.ru/item/1005001769560754.html?pdp_ext_f=%7B%22sku_id%22:%2212000020550073951%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H4b56ad8db2584fc5bb9cfeb9e7c03634s.jpg_350x350.jpg;LED Light Strips Bluetooth WIFI Controller Flexible RGB 5050 Decoration BackLight Lamp Night light Luminous String For Bedroom;US $7.46;US $20.17 | 63% off;68729 Sold;NaN% Claimed
8;//aliexpress.ru/item/1005002278750230.html?pdp_ext_f=%7B%22sku_id%22:%2212000019885913794%22,%22ship_from%22:%22ES%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H3194642cf29641eab1becd4353c1841dk.jpg_350x350.jpg;LIGE 2021 New Smart Watch Men Full Touch Screen Sport Fitness Watch IP67 Waterproof Bluetooth For Android ios smartwatch Men+box;US $22.21;US $138.83 | 84% off;23093 Sold;NaN% Claimed
9;//aliexpress.ru/item/1005002466096506.html?pdp_ext_f=%7B%22sku_id%22:%2212000021441369547%22,%22ship_from%22:%22US%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/Hd8120477fe9b4fa1ba640c030aa5fca6a.jpg_350x350.jpg;Straight Lace Front Human Hair Wigs for Women 30 40 Inch Brazilian Natural Hd Glueless Full Transparent 13x4 Lace Frontal Wig;US $96.88;US $193.76 | 50% off;829 Sold;NaN% Claimed
10;//aliexpress.ru/item/4001349152860.html?pdp_ext_f=%7B%22sku_id%22:%2212000017733601950%22,%22ship_from%22:%22ES%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=c5965ed8-2527-474e-bc02-8677e8e3eb58;//ae01.alicdn.com/kf/H981512a58afe4c3282ef5ac1c0ad079dZ.jpg_350x350.jpg;LIGE Top Brand Luxury Fashion Diver Watch Men 30ATM Waterproof Date Clock Sport Watches Mens Quartz Wristwatch Relogio Masculino;US $23.19;US $289.90 | 92% off;6296 Sold;NaN% Claimed
